Accepted_Annotations,Annotation_Count,Annotation_Is_Verified,Classification,Comment_Count,Featured_Video,Followers,Genius_IQ,Hot,Is_Description,Is_Verified,Length_Referent_Text,Meme_Verified,Number_Contributors,Number_Verified_Annotations,Page_Views,Pinned,Pyong_Count,Release_Date,Total_Votes
24,26,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,44,FALSE,42,0,44509,FALSE,5,10877,2
44,45,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,101,TRUE,712,0,1479165,FALSE,270,423,42
56,59,FALSE,unreviewed,0,TRUE,693,?,FALSE,FALSE,FALSE,33,FALSE,134,0,608156,FALSE,83,4001,36
39,44,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,111,TRUE,54,0,150795,FALSE,8,1986,1
8,14,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,24,FALSE,24,0,36887,FALSE,42,7089,2
55,57,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,22,TRUE,290,1,1404525,FALSE,294,1685,32
39,40,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,18,FALSE,146,0,272088,FALSE,50,7173,11
3,4,FALSE,accepted,1,FALSE,2660,?,FALSE,FALSE,FALSE,102,FALSE,44,0,234149,FALSE,31,8132,10
27,32,FALSE,accepted,0,TRUE,419,?,FALSE,FALSE,FALSE,19,FALSE,24,0,29132,FALSE,2,10218,0
31,58,TRUE,accepted,1,FALSE,10964,?,FALSE,FALSE,FALSE,196,FALSE,245,26,4690125,FALSE,1077,1192,8
24,27,FALSE,accepted,1,FALSE,693,?,FALSE,FALSE,FALSE,72,FALSE,55,0,58072,FALSE,12,7173,11
65,67,FALSE,unreviewed,0,FALSE,8610,?,FALSE,FALSE,FALSE,49,FALSE,362,0,2968632,FALSE,314,2766,1
45,48,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,44,FALSE,65,0,71516,FALSE,15,8790,4
118,122,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,215,TRUE,1380,3,12190302,FALSE,5604,1678,216
30,32,FALSE,accepted,1,TRUE,2660,?,FALSE,FALSE,FALSE,50,FALSE,212,1,994904,FALSE,262,7159,2
12,13,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,46,TRUE,229,0,2590584,FALSE,402,156,94
23,24,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,27,FALSE,37,0,86111,FALSE,3,7173,1
21,26,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,77,FALSE,27,0,24461,FALSE,1,9854,0
56,59,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,61,FALSE,134,0,608156,FALSE,83,4001,14
66,67,FALSE,accepted,1,TRUE,21495,34478,FALSE,FALSE,TRUE,16,TRUE,246,0,2418330,FALSE,820,1545,9
0,6,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,33,FALSE,3,0,?,FALSE,?,1115,0
4,9,FALSE,unreviewed,0,FALSE,2660,?,FALSE,FALSE,FALSE,11,FALSE,21,0,409421,FALSE,30,6389,3
19,23,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,55,FALSE,47,0,78612,FALSE,9,7132,0
30,32,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,48,FALSE,70,0,233864,FALSE,72,6277,5
1,12,FALSE,unreviewed,2,FALSE,419,?,FALSE,FALSE,FALSE,34,FALSE,8,0,41280,FALSE,2,10877,1
16,19,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,25,FALSE,27,0,66018,FALSE,10,5353,9
20,21,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,42,FALSE,154,0,2714212,FALSE,215,1948,19
40,41,FALSE,accepted,1,TRUE,10964,?,FALSE,FALSE,FALSE,76,FALSE,294,0,3318872,FALSE,2527,1449,47
59,65,FALSE,verified,0,TRUE,17568,144243,FALSE,FALSE,TRUE,30,TRUE,375,3,1680661,FALSE,430,6389,56
36,39,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,97,FALSE,83,0,253379,FALSE,45,10906,2
34,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,50,FALSE,80,0,243325,FALSE,28,8020,3
30,32,FALSE,accepted,2,TRUE,2660,?,FALSE,FALSE,FALSE,91,FALSE,212,1,994904,FALSE,262,7159,40
30,35,FALSE,accepted,2,FALSE,2660,?,FALSE,FALSE,FALSE,27,FALSE,152,0,245908,FALSE,29,7906,20
14,27,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,107,FALSE,58,0,93873,FALSE,13,10415,1
22,27,FALSE,unreviewed,0,FALSE,693,?,FALSE,FALSE,FALSE,46,FALSE,82,0,207559,FALSE,26,7173,0
6,8,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,674,FALSE,30,0,41400,FALSE,65,7306,15
45,46,FALSE,accepted,1,TRUE,10964,?,FALSE,FALSE,FALSE,21,FALSE,191,0,2798227,FALSE,1397,1207,90
14,16,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,21,TRUE,74,0,265541,FALSE,33,4926,6
84,89,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,13,TRUE,552,4,5613108,FALSE,2095,2036,47
4,9,FALSE,unreviewed,1,FALSE,2660,?,FALSE,FALSE,FALSE,54,FALSE,21,0,409421,FALSE,30,6389,3
39,49,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,44,FALSE,193,0,1708934,FALSE,146,10876,0
0,3,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,70,FALSE,3,0,?,FALSE,?,1115,0
30,31,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,71,TRUE,125,0,579775,FALSE,56,947,8
28,29,FALSE,accepted,2,TRUE,21495,34478,FALSE,FALSE,TRUE,39,TRUE,198,0,1921896,FALSE,426,2514,18
18,21,FALSE,accepted,1,FALSE,598,?,FALSE,FALSE,FALSE,233,FALSE,35,0,38870,FALSE,60,7089,2
42,48,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,47,TRUE,104,0,315757,FALSE,44,?,0
21,26,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,17,FALSE,27,0,24461,FALSE,1,9854,2
22,29,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,38,FALSE,88,0,292144,FALSE,62,8377,0
38,39,FALSE,accepted,2,FALSE,8610,?,FALSE,FALSE,FALSE,49,FALSE,262,0,1497028,FALSE,996,1175,28
47,51,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,68,TRUE,346,3,3910160,FALSE,380,2036,13
0,6,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,36,FALSE,3,0,?,FALSE,?,1115,0
15,23,FALSE,unreviewed,1,FALSE,598,?,FALSE,FALSE,FALSE,11,FALSE,32,0,27804,FALSE,75,6725,2
8,9,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,47,FALSE,84,0,1633034,FALSE,49,782,50
16,22,FALSE,unreviewed,0,FALSE,2660,?,FALSE,FALSE,FALSE,65,FALSE,95,1,234474,FALSE,28,8132,1
27,32,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,97,FALSE,120,0,357887,FALSE,44,8048,4
103,107,FALSE,accepted,1,FALSE,21495,34478,FALSE,FALSE,TRUE,45,TRUE,399,3,1792776,FALSE,310,1951,10
42,43,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,81,TRUE,218,0,1104987,FALSE,275,1060,4
38,39,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,51,FALSE,262,0,1497028,FALSE,996,1175,32
22,28,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,38,FALSE,167,0,2147517,FALSE,91,2126,0
45,46,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,128,FALSE,191,0,2798227,FALSE,1397,1207,86
37,40,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,42,FALSE,96,1,253453,FALSE,33,7936,31
19,29,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,7,FALSE,34,0,54207,FALSE,7,2049,1
110,117,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,2,TRUE,149,0,314608,FALSE,338,1475,0
33,34,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,52,TRUE,106,0,222423,FALSE,22,4870,18
10,16,FALSE,unreviewed,0,TRUE,2660,?,FALSE,FALSE,FALSE,48,FALSE,75,0,310739,FALSE,40,9110,2
39,42,TRUE,verified,19,TRUE,10964,?,FALSE,FALSE,FALSE,25,FALSE,393,2,7086094,TRUE,669,2034,1097
60,62,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,46,FALSE,199,1,2718643,FALSE,228,1793,2
13,14,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,97,FALSE,93,0,2256798,FALSE,1395,1111,27
20,21,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,27,TRUE,247,0,2330119,FALSE,168,401,70
9,16,FALSE,unreviewed,5,FALSE,598,?,FALSE,FALSE,FALSE,37,FALSE,28,0,33035,FALSE,77,7404,1
22,27,FALSE,accepted,0,TRUE,2660,?,FALSE,FALSE,FALSE,9,FALSE,158,0,1163069,FALSE,159,8970,17
13,15,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,75,FALSE,66,0,311514,FALSE,89,5599,10
27,28,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,8,FALSE,196,0,3183017,FALSE,226,1929,68
23,26,FALSE,accepted,0,TRUE,419,?,FALSE,FALSE,FALSE,79,FALSE,32,0,33966,FALSE,5,10841,3
14,16,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,8,TRUE,74,0,265541,FALSE,33,4926,6
34,36,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,124,TRUE,176,0,336606,FALSE,54,1017,6
6,11,FALSE,accepted,0,FALSE,17568,144243,FALSE,FALSE,TRUE,267,TRUE,173,0,826526,FALSE,170,1657,18
22,27,FALSE,accepted,1,TRUE,2660,?,FALSE,FALSE,FALSE,37,FALSE,158,0,1163069,FALSE,159,8970,59
66,67,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,48,TRUE,117,0,275989,FALSE,163,1434,5
55,56,FALSE,accepted,9,TRUE,17568,144243,FALSE,FALSE,TRUE,99,TRUE,281,0,1478231,FALSE,259,5843,71
30,31,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,49,TRUE,82,0,140642,FALSE,18,4646,3
42,43,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,50,TRUE,218,0,1104987,FALSE,275,1060,17
0,9,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,27,FALSE,4,0,?,FALSE,3,1308,2
8,9,FALSE,accepted,1,FALSE,8610,?,FALSE,FALSE,FALSE,93,FALSE,84,0,1633034,FALSE,49,782,90
98,101,FALSE,accepted,1,FALSE,21495,34478,FALSE,FALSE,TRUE,315,TRUE,552,2,2049199,FALSE,111,2036,26
54,56,FALSE,unreviewed,1,TRUE,17568,144243,FALSE,FALSE,TRUE,32,TRUE,295,0,1338433,FALSE,198,3188,1
22,24,FALSE,verified,2,FALSE,21495,34478,FALSE,FALSE,TRUE,48,TRUE,366,1,2267806,FALSE,211,401,39
81,84,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,22,FALSE,251,2,3670474,FALSE,495,1699,21
48,49,FALSE,accepted,1,FALSE,2503,1124,FALSE,FALSE,TRUE,190,TRUE,97,0,143815,FALSE,41,954,10
8,9,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,91,FALSE,84,0,1633034,FALSE,49,782,93
22,23,FALSE,accepted,0,TRUE,38,?,FALSE,FALSE,FALSE,96,FALSE,125,0,2423056,FALSE,1331,1177,12
24,28,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,44,FALSE,32,0,50538,FALSE,57,7306,2
11,12,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,28,FALSE,119,0,1381659,FALSE,86,826,49
30,31,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,25,TRUE,359,0,2563987,FALSE,651,1162,41
29,32,FALSE,unreviewed,1,TRUE,17568,144243,FALSE,FALSE,TRUE,241,TRUE,175,0,990612,FALSE,273,3204,9
23,24,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,22,FALSE,37,0,86111,FALSE,3,7173,1
17,20,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,52,TRUE,152,1,1204637,FALSE,210,5733,46
18,24,FALSE,unreviewed,0,TRUE,10964,?,FALSE,FALSE,FALSE,66,FALSE,216,0,2254705,FALSE,226,2518,0
81,84,FALSE,accepted,1,FALSE,10964,?,FALSE,FALSE,FALSE,43,FALSE,251,2,3670474,FALSE,495,1699,0
39,49,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,37,FALSE,193,0,1708934,FALSE,146,10876,0
22,27,FALSE,unreviewed,0,FALSE,693,?,FALSE,FALSE,FALSE,13,FALSE,82,0,207559,FALSE,26,7173,1
37,40,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,43,FALSE,96,1,253453,FALSE,33,7936,17
16,22,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,93,FALSE,95,1,234474,FALSE,28,8132,6
27,28,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,21,FALSE,196,0,3183017,FALSE,226,1929,63
51,52,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,24,TRUE,360,0,2016243,FALSE,1267,1162,17
38,41,FALSE,accepted,1,FALSE,2660,?,FALSE,FALSE,FALSE,210,FALSE,93,0,243794,FALSE,37,5654,5
46,49,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,375,2,5236229,FALSE,872,2119,54
9,16,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,14,FALSE,28,0,33035,FALSE,77,7404,1
9,23,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,65,FALSE,47,0,68548,FALSE,16,9854,1
0,20,FALSE,unreviewed,0,FALSE,38,?,FALSE,FALSE,FALSE,49,FALSE,5,0,?,FALSE,?,1160,0
18,19,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,55,FALSE,152,0,2401685,FALSE,59,751,18
27,29,FALSE,accepted,1,FALSE,598,?,FALSE,FALSE,FALSE,232,FALSE,60,0,101327,FALSE,71,7306,11
18,19,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,80,FALSE,152,0,2401685,FALSE,59,751,53
94,104,FALSE,accepted,1,TRUE,2660,?,FALSE,FALSE,FALSE,27,FALSE,294,0,2015929,FALSE,338,8020,6
11,25,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,22,FALSE,31,0,34645,FALSE,3,11011,1
59,62,FALSE,unreviewed,0,TRUE,21495,34478,FALSE,FALSE,TRUE,5,TRUE,453,0,1377723,FALSE,100,401,0
29,34,FALSE,accepted,0,TRUE,2660,?,FALSE,FALSE,FALSE,7,FALSE,100,0,244114,FALSE,29,7906,7
28,29,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,36,FALSE,220,0,2943027,FALSE,172,973,52
46,49,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,9,TRUE,207,0,896107,FALSE,239,4548,7
17,21,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,64,FALSE,126,2,312702,FALSE,48,8468,6
48,49,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,42,TRUE,97,0,143815,FALSE,41,954,10
21,33,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,111,FALSE,41,0,34642,FALSE,7,7369,0
73,76,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,15,TRUE,141,0,562484,FALSE,46,2466,2
23,24,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,63,TRUE,382,0,3709414,FALSE,1885,1162,73
10,16,FALSE,accepted,1,TRUE,2660,?,FALSE,FALSE,FALSE,83,FALSE,75,0,310739,FALSE,40,9110,16
9,12,FALSE,accepted,1,FALSE,2660,?,FALSE,FALSE,FALSE,94,FALSE,58,0,240321,FALSE,24,8132,5
30,32,FALSE,accepted,0,TRUE,2660,?,FALSE,FALSE,FALSE,27,FALSE,212,1,994904,FALSE,262,7159,163
11,16,FALSE,accepted,1,FALSE,598,?,FALSE,FALSE,FALSE,39,FALSE,86,0,218921,FALSE,52,?,3
110,117,FALSE,accepted,0,FALSE,2503,1124,FALSE,FALSE,TRUE,63,TRUE,149,0,314608,FALSE,338,1475,1
25,27,FALSE,unreviewed,0,TRUE,10964,?,FALSE,FALSE,FALSE,62,FALSE,153,0,2542718,FALSE,168,2217,2
39,42,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,21,FALSE,393,2,7086094,FALSE,669,2034,95
33,34,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,47,TRUE,106,0,222423,FALSE,22,4870,12
21,26,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,77,FALSE,27,0,24461,FALSE,1,9854,0
20,25,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,45,FALSE,28,0,41912,FALSE,8,10877,10
54,58,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,142,FALSE,111,0,77481,FALSE,31,5353,2
30,33,FALSE,unreviewed,0,TRUE,693,?,FALSE,FALSE,FALSE,193,FALSE,51,0,70429,FALSE,18,8948,1
18,22,FALSE,unreviewed,0,TRUE,17568,144243,FALSE,FALSE,TRUE,94,TRUE,172,0,828968,FALSE,227,2528,17
32,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,21,FALSE,85,0,276104,FALSE,35,7866,4
45,47,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,45,FALSE,234,1,2749197,FALSE,1861,1300,15
29,34,FALSE,accepted,0,TRUE,2660,?,FALSE,FALSE,FALSE,43,FALSE,100,0,244114,FALSE,29,7906,9
17,21,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,187,FALSE,126,2,312702,FALSE,48,8468,17
16,22,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,37,FALSE,40,0,89259,FALSE,12,10141,5
53,54,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,74,TRUE,315,0,1536371,FALSE,192,853,37
40,50,FALSE,verified,0,TRUE,17568,144243,FALSE,FALSE,TRUE,40,TRUE,411,7,1221363,FALSE,153,471,3
21,22,FALSE,accepted,2,TRUE,8610,?,FALSE,FALSE,FALSE,43,FALSE,171,0,1491573,FALSE,99,826,42
11,12,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,49,FALSE,216,0,3708670,FALSE,204,826,127
24,33,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,136,FALSE,22,0,40285,FALSE,2,9854,4
31,34,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,146,TRUE,212,2,848363,FALSE,144,7055,33
8,10,FALSE,unreviewed,1,FALSE,693,?,FALSE,FALSE,FALSE,33,FALSE,34,0,74409,FALSE,10,5353,0
33,34,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,56,FALSE,66,0,55269,FALSE,10,7936,2
34,35,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,52,FALSE,80,0,243325,FALSE,28,8020,1
20,21,FALSE,accepted,0,TRUE,10964,?,FALSE,FALSE,FALSE,46,FALSE,154,0,2714212,FALSE,215,1948,23
37,40,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,50,FALSE,96,1,253453,FALSE,33,7936,4
24,27,FALSE,accepted,1,TRUE,598,?,FALSE,FALSE,FALSE,226,FALSE,125,0,1136917,FALSE,296,1664,38
26,27,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,53,FALSE,84,0,174452,FALSE,23,7249,6
81,84,TRUE,verified,20,FALSE,10964,?,FALSE,FALSE,FALSE,40,FALSE,251,2,3670474,TRUE,495,1699,161
37,39,FALSE,accepted,1,FALSE,10964,?,FALSE,FALSE,FALSE,9,FALSE,138,0,2448942,FALSE,317,1699,42
30,38,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,20,FALSE,51,0,42338,FALSE,8,10601,3
46,49,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,9,TRUE,375,2,5236229,FALSE,872,2119,27
24,27,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,109,FALSE,21,0,33958,FALSE,50,7306,1
19,29,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,67,FALSE,34,0,54207,FALSE,7,2049,1
12,13,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,135,FALSE,104,0,1361667,FALSE,66,751,28
30,33,FALSE,accepted,0,TRUE,693,?,FALSE,FALSE,FALSE,62,FALSE,51,0,70429,FALSE,18,8948,2
8,14,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,5,FALSE,24,0,36887,FALSE,42,7089,2
29,32,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,9,TRUE,175,0,990612,FALSE,273,3204,53
19,20,FALSE,accepted,0,TRUE,2503,1124,FALSE,FALSE,TRUE,72,TRUE,45,0,273854,FALSE,10,699,2
19,20,FALSE,accepted,1,TRUE,10964,?,FALSE,FALSE,FALSE,43,FALSE,433,0,6490108,FALSE,740,121,120
55,57,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,49,TRUE,290,1,1404525,FALSE,294,1685,32
40,50,TRUE,verified,0,TRUE,17568,144243,FALSE,FALSE,TRUE,103,TRUE,411,7,1221363,TRUE,153,471,64
20,21,FALSE,accepted,1,TRUE,10964,?,FALSE,FALSE,FALSE,86,FALSE,154,0,2714212,FALSE,215,1948,19
26,29,FALSE,accepted,1,FALSE,2660,?,FALSE,FALSE,FALSE,46,FALSE,142,0,600994,FALSE,128,8132,4
45,48,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,48,FALSE,65,0,71516,FALSE,15,8790,0
64,65,FALSE,accepted,1,FALSE,419,?,FALSE,FALSE,FALSE,616,FALSE,79,0,210446,FALSE,18,11238,17
98,101,FALSE,accepted,1,FALSE,21495,34478,FALSE,FALSE,TRUE,239,TRUE,552,2,2049199,FALSE,111,2036,26
37,42,TRUE,verified,19,TRUE,17568,144243,FALSE,FALSE,TRUE,119,TRUE,399,4,3060005,TRUE,1027,5683,863
28,29,FALSE,accepted,4,TRUE,21495,34478,FALSE,FALSE,TRUE,165,TRUE,198,0,1921896,FALSE,426,2514,124
5,20,FALSE,unreviewed,0,TRUE,38,?,FALSE,FALSE,FALSE,45,FALSE,6,0,?,FALSE,9,1115,0
17,18,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,250,FALSE,53,0,66937,FALSE,10,7173,9
23,24,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,60,FALSE,398,0,4498975,FALSE,1263,1026,209
5,20,FALSE,unreviewed,0,TRUE,38,?,FALSE,FALSE,FALSE,51,FALSE,6,0,?,FALSE,9,1115,1
22,27,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,38,FALSE,82,0,207559,FALSE,26,7173,4
21,26,FALSE,accepted,0,FALSE,419,?,FALSE,FALSE,FALSE,36,FALSE,56,0,87650,FALSE,17,6845,6
52,55,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,33,FALSE,64,1,54408,FALSE,12,8735,0
22,26,FALSE,accepted,0,FALSE,2660,?,FALSE,FALSE,FALSE,98,FALSE,41,0,415789,FALSE,59,5701,4
23,24,FALSE,accepted,0,FALSE,693,?,FALSE,FALSE,FALSE,205,FALSE,37,0,86111,FALSE,3,7173,4
27,32,FALSE,accepted,0,TRUE,419,?,FALSE,FALSE,FALSE,43,FALSE,24,0,29132,FALSE,2,10218,4
10,16,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,48,FALSE,28,0,36933,FALSE,47,7089,11
27,32,FALSE,unreviewed,1,FALSE,2660,?,FALSE,FALSE,FALSE,35,FALSE,120,0,357887,FALSE,44,8048,1
8,9,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,96,FALSE,84,0,1633034,FALSE,49,782,86
32,42,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,30,FALSE,515,9,5296468,FALSE,341,887,36
36,40,FALSE,accepted,0,TRUE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,363,3,4131701,FALSE,623,2036,50
44,45,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,96,TRUE,712,0,1479165,FALSE,270,423,62
21,33,FALSE,accepted,0,FALSE,598,?,FALSE,FALSE,FALSE,52,FALSE,41,0,34642,FALSE,7,7369,0
30,32,FALSE,unreviewed,0,TRUE,693,?,FALSE,FALSE,FALSE,44,FALSE,70,0,233864,FALSE,72,6277,2
16,19,FALSE,accepted,1,FALSE,693,?,FALSE,FALSE,FALSE,49,FALSE,27,0,66018,FALSE,10,5353,7
33,41,FALSE,accepted,0,TRUE,8610,?,FALSE,FALSE,FALSE,31,FALSE,207,7,1930333,FALSE,90,566,4
66,69,FALSE,accepted,0,FALSE,10964,?,FALSE,FALSE,FALSE,87,FALSE,306,2,2875478,FALSE,342,1699,71
20,21,FALSE,accepted,2,FALSE,21495,34478,FALSE,FALSE,TRUE,78,TRUE,247,0,2330119,FALSE,168,401,205
9,16,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,64,FALSE,28,0,33035,FALSE,77,7404,1
40,42,FALSE,accepted,0,TRUE,17568,144243,FALSE,FALSE,TRUE,287,TRUE,243,0,1365257,FALSE,610,1565,76
38,40,FALSE,accepted,1,TRUE,17568,144243,FALSE,FALSE,TRUE,127,TRUE,147,0,1054515,FALSE,245,4773,36
38,40,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,7,TRUE,546,1,2377865,FALSE,1535,1196,31
11,25,FALSE,unreviewed,1,FALSE,419,?,FALSE,FALSE,FALSE,48,FALSE,31,0,34645,FALSE,3,11011,1
19,29,FALSE,unreviewed,0,FALSE,598,?,FALSE,FALSE,FALSE,196,FALSE,34,0,54207,FALSE,7,2049,0
20,29,FALSE,unreviewed,0,FALSE,419,?,FALSE,FALSE,FALSE,70,FALSE,66,0,55588,FALSE,3,9854,2
38,40,FALSE,accepted,0,FALSE,21495,34478,FALSE,FALSE,TRUE,6,TRUE,546,1,2377865,FALSE,1535,1196,145
38,39,FALSE,accepted,0,FALSE,8610,?,FALSE,FALSE,FALSE,19,FALSE,262,0,1497028,FALSE,996,1175,34
